Designator	Device	Footprint	Mid X	Mid Y	Ref X	Ref Y	Pad X	Pad Y	Pins	Layer	Rotation	SMD	Comment	Name
"L2"	"BLM18PG121SN1D_C14709"	"L0603"	"44.25mm"	"37.225mm"	"44.25mm"	"37.225mm"	"44.95mm"	"37.225mm"	"2"	"T"	"180"	"Yes"	"BLM18PG121SN1D"	"BLM18PG121SN1D"
"L3"	"AOTA-B201610S3R3-101-T"	"IND-SMD_L2.0-W1.6_AOTA-B201610S3R3-101-T"	"43.711mm"	"54.836mm"	"43.711mm"	"54.836mm"	"43.711mm"	"55.836mm"	"2"	"T"	"270"	"Yes"	"3.3uH"	"3.3uH"
"LED1"	"KT-0805G"	"LED0805-R-RD"	"145.95mm"	"78.95mm"	"145.95mm"	"78.95mm"	"147mm"	"78.95mm"	"2"	"T"	"0"	"Yes"	"KT-0805G"	"KT-0805G"
"LED2"	"KT-0805G"	"LED0805-R-RD"	"135.75mm"	"61.35mm"	"135.75mm"	"61.35mm"	"136.8mm"	"61.35mm"	"2"	"T"	"0"	"Yes"	"KT-0805G"	"KT-0805G"
"LED3"	"KT-0805G"	"LED0805-R-RD"	"112.975mm"	"53.7mm"	"112.975mm"	"53.7mm"	"112.975mm"	"54.75mm"	"2"	"T"	"90"	"Yes"	"KT-0805G"	"KT-0805G"
"LED4"	"KT-0805G"	"LED0805-R-RD"	"19mm"	"57.925mm"	"19mm"	"57.925mm"	"17.95mm"	"57.925mm"	"2"	"T"	"180"	"Yes"	"KT-0805G"	"KT-0805G"
"LED5"	"KT-0805G"	"LED0805-R-RD"	"145.711mm"	"87.862mm"	"145.711mm"	"87.862mm"	"145.711mm"	"88.912mm"	"2"	"T"	"90"	"Yes"	"KT-0805G"	"KT-0805G"
"R1"	"0603WAF5101T5E"	"R0603"	"10.675mm"	"53.8mm"	"10.675mm"	"53.8mm"	"11.428mm"	"53.8mm"	"2"	"T"	"180"	"Yes"	"5.1kΩ"	"5.1kΩ"
"R2"	"0603WAF6801T5E"	"R0603"	"127.413mm"	"64.552mm"	"127.413mm"	"64.552mm"	"127.413mm"	"65.305mm"	"2"	"T"	"270"	"Yes"	"6.8kΩ"	"6.8kΩ"
"R3"	"0603WAF1501T5E"	"R0603"	"127.4mm"	"61.575mm"	"127.4mm"	"61.575mm"	"127.4mm"	"60.822mm"	"2"	"T"	"90"	"Yes"	"1.5kΩ"	"1.5kΩ"
"R5"	"0603WAF5101T5E"	"R0603"	"10.675mm"	"50.675mm"	"10.675mm"	"50.675mm"	"11.428mm"	"50.675mm"	"2"	"T"	"180"	"Yes"	"5.1kΩ"	"5.1kΩ"
"R6"	"0603WAF1002T5E"	"R0603"	"10.675mm"	"57.322mm"	"10.675mm"	"57.322mm"	"11.428mm"	"57.322mm"	"2"	"T"	"180"	"Yes"	"10kΩ"	"10kΩ"
"R7"	"0603WAF2001T5E"	"R0603"	"130.067mm"	"63.781mm"	"130.067mm"	"63.781mm"	"130.82mm"	"63.781mm"	"2"	"T"	"180"	"Yes"	"2kΩ"	"2kΩ"
"R8"	"0603WAF1002T5E"	"R0603"	"10.672mm"	"55.825mm"	"10.672mm"	"55.825mm"	"9.918mm"	"55.825mm"	"2"	"T"	"0"	"Yes"	"10kΩ"	"10kΩ"
"R9"	"0603WAF1002T5E"	"R0603"	"146.24mm"	"76.946mm"	"146.24mm"	"76.946mm"	"146.993mm"	"76.946mm"	"2"	"T"	"180"	"Yes"	"10kΩ"	"10kΩ"
"R10"	"0603WAF1001T5E"	"R0603"	"136.35mm"	"58.275mm"	"136.35mm"	"58.275mm"	"137.103mm"	"58.275mm"	"2"	"T"	"180"	"Yes"	"1kΩ"	"1kΩ"
"R11"	"0603WAF1001T5E"	"R0603"	"115.05mm"	"53.125mm"	"115.05mm"	"53.125mm"	"115.05mm"	"53.878mm"	"2"	"T"	"270"	"Yes"	"1kΩ"	"1kΩ"
"R12"	"0603WAF1001T5E"	"R0603"	"15.372mm"	"57.928mm"	"15.372mm"	"57.928mm"	"16.125mm"	"57.928mm"	"2"	"T"	"180"	"Yes"	"1kΩ"	"1kΩ"
"R13"	"1206W4F4701T5E"	"R1206"	"142.15mm"	"86.669mm"	"142.15mm"	"86.669mm"	"140.672mm"	"86.669mm"	"2"	"T"	"0"	"Yes"	"4.7kΩ"	"4.7kΩ"
"R14"	"1206W4F4701T5E"	"R1206"	"142.15mm"	"88.827mm"	"142.15mm"	"88.827mm"	"140.672mm"	"88.827mm"	"2"	"T"	"0"	"Yes"	"4.7kΩ"	"4.7kΩ"
"R15"	"0603WAF330JT5E"	"R0603"	"45.96mm"	"58.23mm"	"45.96mm"	"58.23mm"	"45.96mm"	"58.983mm"	"2"	"T"	"270"	"Yes"	"33Ω"	"33Ω"
"R16"	"0603WAF100JT5E"	"R0603"	"29.387mm"	"32.751mm"	"29.387mm"	"32.751mm"	"28.634mm"	"32.751mm"	"2"	"T"	"0"	"Yes"	"10Ω"	"10Ω"
"R17"	"0603WAF4701T5E"	"R0603"	"49.855mm"	"38.134mm"	"49.855mm"	"38.134mm"	"49.855mm"	"37.38mm"	"2"	"T"	"90"	"Yes"	"4.7kΩ"	"4.7kΩ"
"R18"	"0603WAF499JT5E_C23185"	"R0603"	"36.997mm"	"33.221mm"	"36.997mm"	"33.221mm"	"37.75mm"	"33.221mm"	"2"	"T"	"180"	"Yes"	"49.9Ω"	"49.9Ω"
"R19"	"0603WAF499JT5E_C23185"	"R0603"	"36.988mm"	"34.558mm"	"36.988mm"	"34.558mm"	"37.741mm"	"34.558mm"	"2"	"T"	"180"	"Yes"	"49.9Ω"	"49.9Ω"
"R20"	"0603WAF4701T5E"	"R0603"	"52.825mm"	"35.7mm"	"52.825mm"	"35.7mm"	"52.825mm"	"34.947mm"	"2"	"T"	"90"	"Yes"	"4.7kΩ"	"4.7kΩ"
"R21"	"0603WAF4701T5E"	"R0603"	"57.957mm"	"35.893mm"	"57.957mm"	"35.893mm"	"57.203mm"	"35.893mm"	"2"	"T"	"0"	"Yes"	"4.7kΩ"	"4.7kΩ"
"R22"	"0603WAF470KT5E"	"R0603"	"39.763mm"	"34.546mm"	"39.763mm"	"34.546mm"	"39.01mm"	"34.546mm"	"2"	"T"	"0"	"Yes"	"4.7Ω"	"4.7Ω"
"R23"	"0603WAF470KT5E"	"R0603"	"39.763mm"	"33.222mm"	"39.763mm"	"33.222mm"	"39.01mm"	"33.222mm"	"2"	"T"	"0"	"Yes"	"4.7Ω"	"4.7Ω"
"R24"	"0603WAF470KT5E"	"R0603"	"39.763mm"	"30.478mm"	"39.763mm"	"30.478mm"	"39.01mm"	"30.478mm"	"2"	"T"	"0"	"Yes"	"4.7Ω"	"4.7Ω"
"R25"	"0603WAF470KT5E"	"R0603"	"39.763mm"	"29.155mm"	"39.763mm"	"29.155mm"	"39.01mm"	"29.155mm"	"2"	"T"	"0"	"Yes"	"4.7Ω"	"4.7Ω"
"R26"	"0603WAF499JT5E_C23185"	"R0603"	"36.38mm"	"29.241mm"	"36.38mm"	"29.241mm"	"36.38mm"	"28.487mm"	"2"	"T"	"90"	"Yes"	"49.9Ω"	"49.9Ω"
