PCB8_CNC_Controller_RP2350_v1,,,,,,,,,,LCSC BOM Quotation,,,,,,,,,,,,,,,
,,,,,,,,,,BOM Date Created:11/05/26 05:52:16,,,,BOM Export Date: 11/05/26 05:56:59,,,,"The matching result is a real-time query result, availability and prices may fluctuate.  
Backorder items are estimated prices for your reference, please submit ""Create Quote"" to get the real price.
All information is provided ""as is"" and is subject to change without notice.  Any use made of the information provided is without recourse to LCSC and at the user's risk.",,,,,,,
,,,,,,,,,,"EST TOTAL :$2205.41
",,,,Website:https://www.lcsc.com/bom,,,,,,,,,,,
Uploaded data,,,,,,,,,,LCSC Matching Results,,,,,,,,,,,,,,,
LCSC#,Mfr.,Mrf#,Description,Package,Value,Customer Part Number,Quantity,Target Price(USD),Target Lead Time(Business Days),Mrf#,Mfr.,Order Qty.,Unit Price(USD),Ext.Price(USD),LCSC#,Package,Min,Mult,SPQ,Availability,Stock Status,Customer Notes,Description,Matched status,Product Link
C441171,KEFA(??),KF2EDGR-3.5-2P,,CONN-TH_P3.50_KF2EDGR-3.5-2P,,-,2,,,KF2EDGR-3.5-2P,Cixi Kefa Elec,10,0.0496,0.50,C441171,"Through Hole,Right Angle,P=3.5mm",10,10,500,5150,In Stock,,2 Position Board Side/Socket - Closed 3.5mm Pitch Right-Angle Pin,Exact Matches,https://www.lcsc.com/product-detail/C441171.html
C441173,KEFA(??),KF2EDGR-3.5-4P,,CONN-TH_4P-P3.50_KF2EDGR-3.5-4P,,-,6,,,KF2EDGR-3.5-4P,Cixi Kefa Elec,10,0.1082,1.08,C441173,"Through Hole,Right Angle,P=3.5mm",5,5,200,12400,In Stock,,4 Position Board Side/Socket - Closed 3.5mm Pitch Right-Angle Pin,Exact Matches,https://www.lcsc.com/product-detail/C441173.html
C441174,KEFA(??),KF2EDGR-3.5-5P,,CONN-TH_5P-P3.50_KF2EDGR-3.5-5P,,-,1,,,KF2EDGR-3.5-5P,Cixi Kefa Elec,5,0.1239,0.62,C441174,"Through Hole,Right Angle,P=3.5mm",5,5,200,1895,In Stock,,5 Position Board Side/Socket - Closed 3.5mm Pitch Right-Angle Pin,Exact Matches,https://www.lcsc.com/product-detail/C441174.html
C441175,KEFA(??),KF2EDGR-3.5-6P,,CONN-TH_6P-P3.50_KF2EDGR-3.5-6P,,-,1,,,KF2EDGR-3.5-6P,Cixi Kefa Elec,5,0.1593,0.80,C441175,"Through Hole,Right Angle,P=3.5mm",5,5,200,3820,In Stock,,6 Position Board Side/Socket - Closed 3.5mm Pitch Right-Angle Pin,Exact Matches,https://www.lcsc.com/product-detail/C441175.html
C57112,FH(??),0603B103K500NT,,C0603,,-,1,,,0603B103K500NT,FH,100,0.0031,0.31,C57112,0603,100,100,4000,1488600,In Stock,,10nF ±10% 50V Ceramic Capacitor X7R 0603,Exact Matches,https://www.lcsc.com/product-detail/C57112.html
C1588,SAMSUNG(??),CL10B102KB8NNNC,,C0603,,-,1,,,CL10B102KB8NNNC,Samsung Electro-Mechanics,50,0.0033,0.17,C1588,0603,50,50,4000,7641300,In Stock,,1nF ±10% 50V Ceramic Capacitor X7R 0603,Exact Matches,https://www.lcsc.com/product-detail/C1588.html
C14663,YAGEO(??),CC0603KRX7R9BB104,,C0603,,-,41,,,CC0603KRX7R9BB104,YAGEO,100,0.0030,0.30,C14663,0603,100,100,4000,4281700,In Stock,,100nF ±10% 50V Ceramic Capacitor X7R 0603,Exact Matches,https://www.lcsc.com/product-detail/C14663.html
C19666,SAMSUNG(??),CL10A475KO8NNNC,,C0603,,-,5,,,CL10A475KO8NNNC,Samsung Electro-Mechanics,10,0.0111,0.11,C19666,0603,10,10,4000,2586770,In Stock,,4.7uF ±10% 16V Ceramic Capacitor X5R 0603,Exact Matches,https://www.lcsc.com/product-detail/C19666.html
C15849,SAMSUNG(??),CL10A105KB8NNNC,,C0603,,-,3,,,CL10A105KB8NNNC,Samsung Electro-Mechanics,50,0.0077,0.39,C15849,0603,50,50,4000,1161950,In Stock,,1uF ±10% 50V Ceramic Capacitor X5R 0603,Exact Matches,https://www.lcsc.com/product-detail/C15849.html
C21122,SAMSUNG(??),CL10B223KB8NNNC,,C0603,,-,1,,,CL10B223KB8NNNC,Samsung Electro-Mechanics,50,0.0046,0.23,C21122,0603,50,50,4000,974300,In Stock,,22nF ±10% 50V Ceramic Capacitor X7R 0603,Exact Matches,https://www.lcsc.com/product-detail/C21122.html
C1631,FH(??),0603B682K500NT,,C0603,,-,2,,,0603B682K500NT,FH,100,0.0036,0.36,C1631,0603,100,100,4000,395200,In Stock,,6.8nF ±10% 50V Ceramic Capacitor X7R 0603,Exact Matches,https://www.lcsc.com/product-detail/C1631.html
C1663,SAMSUNG(??),CL10C330JB8NNNC,,C0603,,-,2,,,CL10C330JB8NNNC,Samsung Electro-Mechanics,100,0.0057,0.57,C1663,0603,100,100,4000,1189700,In Stock,,33pF ±5% 50V Ceramic Capacitor C0G 0603,Exact Matches,https://www.lcsc.com/product-detail/C1663.html
C1647,SAMSUNG(??),CL10C180JB8NNNC,,C0603,,-,2,,,CL10C180JB8NNNC,Samsung Electro-Mechanics,100,0.0055,0.55,C1647,0603,100,100,4000,354100,In Stock,,18pF ±5% 50V Ceramic Capacitor C0G 0603,Exact Matches,https://www.lcsc.com/product-detail/C1647.html
C25092,UNI-ROYAL(??),0402WGF220JTCE,,R0402,,-,2,,,0402WGF220JTCE,UNI-ROYAL,100,0.0009,0.09,C25092,0402,100,100,10000,0,Backordered,,22? ±1% 62.5mW 0402 Thick Film Resistor,Exact Matches,https://www.lcsc.com/product-detail/C25092.html
